Name,2022 Population,Population Rank
,,
Mumbai,"12,691,836",1
Delhi,"10,927,986",2
Bengaluru,"5,104,047",3
Kolkata,"4,631,392",4
Chennai,"4,328,063",5
Ahmedabad,"3,719,710",6
Hyderabad,"3,597,816",7
Pune,"2,935,744",8
Surat,"2,894,504",9
Kanpur,"2,823,249",10
Jaipur,"2,711,758",11
Navi Mumbai,"2,600,000",12
Lucknow,"2,472,011",13
Nagpur,"2,228,018",14
Indore,"1,837,041",15
Patna,"1,599,920",16
Bhopal,"1,599,914",17
Ludhiana,"1,545,368",18
Tirunelveli,"1,435,844",19
Agra,"1,430,055",20
Vadodara,"1,409,476",21
Gorakhpur,"1,324,570",22
Nashik,"1,289,497",23
Pimpri,"1,284,606",24
Kalyan,"1,262,255",25
Thane,"1,261,517",26
Meerut,"1,223,184",27
Nowrangapur,"1,220,946",28
Faridabad,"1,220,229",29
Ghaziabad,"1,199,191",30
Dombivli,"1,193,000",31
Rajkot,"1,177,362",32
Varanasi,"1,164,404",33
Amritsar,"1,092,450",34
Allahabad,"1,073,438",35
Visakhapatnam,"1,063,178",36
Teni,"1,034,724",37
Jabalpur,"1,030,168",38
Haora,"1,027,672",39
Aurangabad,"1,016,441",40
Shivaji Nagar,"1,000,000",41
Solapur,"997,281",42
Srinagar,"975,857",43
Chandigarh,"960,787",44
Coimbatore,"959,823",45
Jodhpur,"921,476",46
Madurai,"909,908",47
Guwahati,"899,094",48
Gwalior,"882,458",49
Vijayawada,"874,587",50
Mysore,"868,313",51
Ranchi,"846,454",52
Hubli,"840,214",53
Jalandhar,"785,178",54
Thiruvananthapuram,"784,153",55
Salem,"778,396",56
Tiruchirappalli,"775,484",57
Kota,"763,088",58
Bhubaneshwar,"762,243",59
Aligarh,"753,207",60
Bareilly,"745,435",61
Moradabad,"721,139",62
Bhiwandi,"707,035",63
Raipur,"679,995",64
Gorakhpur,"674,246",65
Bhilai,"625,138",66
Jamshedpur,"616,338",67
Borivli,"609,617",68
