Name,2022 Population,Population Rank
Delhi,"32,066,000",1
Mumbai,"20,961,000",2
Kolkata,"15,134,000",3
Banglore,"13,193,000",4
Chennai,"11,503,000",5
Hyderabad,"10,534,000",6
Ahmadabad,"8,450,000",7
Surat,"7,784,000",8
Poona,"6,987,000",9
Jaipur,"4,107,000",10
Calicut,"3,921,000",11
Lucknow,"3,854,000",12
Malappuram,"3,816,000",13
Thrissur,"3,351,000",14
Cochin,"3,301,000",15
Indore,"3,209,000",16
Kanpur,"3,190,000",17
Nagpur,"2,991,000",18
Coimbatore,"2,935,000",19
Thiruvananthapuram,"2,793,000",20
Patna,"2,529,000",21
Bhopal,"2,505,000",22
Agra,"2,314,000",23
Kannur,"2,286,000",24
Visakhapatnam,"2,278,000",25
Vadodara,"2,277,000",26
Nashik,"2,180,000",27
Vijayawada,"2,168,000",28
Kollam,"2,026,000",29
Rajkot,"1,989,000",30
Ludhiana,"1,917,000",31
Madurai,"1,799,000",32
Meerut,"1,762,000",33
Raipur,"1,760,000",34
Benares,"1,722,000",35
Jamshedpur,"1,661,000",36
Srinagar,"1,660,000",37
Aurangabad,"1,642,000",38
Tiruppur,"1,619,000",39
Jodhpur,"1,548,000",40
Ranchi,"1,511,000",41
Jabalpur,"1,496,000",42
Asansol,"1,478,000",43
Kota,"1,474,000",44
Gwalior,"1,442,000",45
Allahabad,"1,439,000",46
Amritsar,"1,425,000",47
Dhanbad,"1,368,000",48
Bareilly,"1,317,000",49
Aligarh,"1,279,000",50
Moradabad,"1,267,000",51
Mysore,"1,261,000",52
Durg-Bhilainagar,"1,245,000",53
Bhubaneswar,"1,226,000",54
Tiruchirappalli,"1,201,000",55
Chandigarh,"1,191,000",56
Hubli-Dharwad,"1,158,000",57
Gauhati,"1,155,000",58
Salem,"1,146,000",59
Saharanpur,"1,134,000",60
Jalandhar,"1,096,000",61
Siliguri,"1,092,000",62
Solapur,"1,055,000",63
Warangal,"1,007,000",64
Dehradun,"967,000",65
Guntur,"897,000",66
Bhiwandi,"890,000",67
Puducherry,"877,000",68
Firozabad,"870,000",69
Cherthala,"837,000",70
Bikaner,"802,000",71
Nellore,"795,000",72
Kottayam,"780,000",73
Amravati,"778,000",74
Gorakhpur,"777,000",75
Muzaffarnagar,"767,000",76
Cuttack,"763,000",77
